video,track_id,n_frames,first_frame,last_frame,path_len_px,net_disp_px,straightness,net_turn_deg,total_turn_deg,median_speed_px_per_frame,median_speed_px_per_s,mean_kappa,median_kappa,p90_kappa,max_kappa,min_radius_px,median_abs_omega_rad_s,p90_abs_omega_rad_s,max_abs_omega_rad_s,curvature_class,turn_class
MVI_40192,37,131,156,286,424.04,418.74,0.9875,21.22,145.55,2.121,53.02,0.016653,0.005131,0.05659,0.120467,8.3,0.37806,1.59888,2.93309,curved,gentle
MVI_40192,38,136,166,301,439.43,436.67,0.9937,6.75,135.68,2.047,51.17,0.012878,0.006233,0.032206,0.063793,15.68,0.35189,1.16681,2.00538,straight,straight
MVI_40192,39,91,166,256,224.64,222.54,0.9907,55.74,101.21,2.362,59.05,0.010731,0.006067,0.028052,0.048422,20.65,0.37352,1.20814,3.36112,curved,sharp
MVI_40192,40,91,171,261,449.73,448.73,0.9978,4.05,43.73,3.691,92.27,0.00291,0.002255,0.005543,0.015314,65.3,0.27566,0.55481,0.88736,straight,straight
MVI_40192,41,101,201,301,446.28,444.14,0.9952,8.02,109.11,2.814,70.36,0.012295,0.003526,0.020256,0.148714,6.72,0.32031,1.33,3.39567,straight,straight
MVI_40192,42,141,206,346,461.18,459.58,0.9965,21.48,168.87,2.15,53.74,0.021093,0.006722,0.06413,0.131999,7.58,0.45974,1.48213,2.46934,curved,gentle
MVI_40192,43,146,221,366,493.54,485.96,0.9846,58.22,209.37,2.131,53.27,0.022554,0.007545,0.041547,0.366704,2.73,0.50598,1.50339,5.65522,curved,sharp
MVI_40192,44,116,221,336,322.79,319.67,0.9903,15.17,99.6,2.32,57.99,0.008289,0.003734,0.021548,0.046915,21.32,0.24493,1.09583,2.10464,straight,gentle
MVI_40192,45,106,221,326,488.52,485.39,0.9936,43.84,94.84,3.226,80.64,0.006437,0.003012,0.020008,0.037072,26.97,0.29554,1.07662,1.70808,curved,gentle
MVI_40192,46,141,226,366,452.8,451.38,0.9969,6.94,165.15,1.908,47.7,0.023611,0.008642,0.059645,0.206092,4.85,0.46328,1.57285,3.1201,straight,straight
MVI_40192,47,101,236,336,234.36,232.01,0.99,22.61,103.22,2.109,52.72,0.009819,0.00697,0.019308,0.047253,21.16,0.34186,1.06932,1.55355,curved,gentle
MVI_40192,48,126,246,371,485.8,483.63,0.9955,17.98,150.24,2.243,56.07,0.022393,0.005345,0.06596,0.19131,5.23,0.44146,1.61873,3.99317,straight,gentle
MVI_40192,49,136,251,386,447.09,443.88,0.9928,41.88,195.52,1.956,48.91,0.023926,0.009292,0.059649,0.181057,5.52,0.57108,1.96009,3.23924,curved,gentle
MVI_40192,50,111,256,366,318.99,314.74,0.9867,40.75,139.42,2.308,57.7,0.013014,0.007176,0.036211,0.067029,14.92,0.4188,1.53873,2.20727,curved,gentle
MVI_40192,51,141,256,396,497.3,491.61,0.9885,5.89,198.83,2.233,55.82,0.021361,0.00835,0.062193,0.102536,9.75,0.59319,1.81728,3.15951,straight,straight
MVI_40192,52,136,271,406,439.45,437.87,0.9964,27.32,131.9,2.12,52.99,0.017887,0.004846,0.060144,0.106521,9.39,0.30786,1.38695,2.1204,curved,gentle
MVI_40192,53,111,281,391,305.75,300.29,0.9822,120.72,252.41,2.391,59.76,0.023026,0.005338,0.030977,0.661077,1.51,0.39915,1.61822,8.29054,curved,sharp
MVI_40192,54,91,281,371,214.85,212.62,0.9896,6.09,122.78,2.422,60.54,0.022434,0.009631,0.023771,0.599381,1.67,0.55239,1.67559,7.70713,straight,straight
MVI_40192,55,131,306,436,458.92,457.09,0.996,25.41,131.21,2.168,54.2,0.014438,0.00541,0.038952,0.172326,5.8,0.3927,1.14299,2.45165,curved,gentle
MVI_40192,56,111,306,416,479.61,477.49,0.9956,5.13,116.13,2.891,72.28,0.012337,0.00411,0.034389,0.05799,17.24,0.41653,1.19244,1.70346,straight,straight
MVI_40192,57,116,316,431,329.83,323.62,0.9812,3.75,221.0,2.306,57.66,0.026825,0.007953,0.081019,0.212975,4.7,0.53022,2.81327,4.62224,straight,straight
MVI_40192,58,131,321,451,476.57,470.03,0.9863,11.78,152.46,2.458,61.46,0.014474,0.006876,0.041969,0.092936,10.76,0.473,1.54901,2.44117,straight,gentle
MVI_40192,59,91,331,421,230.24,227.72,0.989,12.79,89.45,2.5,62.5,0.00817,0.005232,0.021112,0.030617,32.66,0.34255,0.93146,2.07339,straight,gentle
MVI_40192,60,106,336,441,566.2,564.15,0.9964,31.19,94.41,3.418,85.45,0.00875,0.002801,0.03141,0.047613,21.0,0.28662,1.25916,1.73809,curved,gentle
MVI_40192,61,106,346,451,311.05,306.06,0.9839,13.84,125.64,2.444,61.09,0.010827,0.009124,0.021544,0.039337,25.42,0.53904,1.21394,2.60472,straight,gentle
MVI_40192,62,136,351,486,465.48,463.69,0.9962,37.1,168.2,2.085,52.13,0.033991,0.004528,0.117236,0.468486,2.13,0.26715,2.03023,5.89526,curved,gentle
MVI_40192,63,131,361,491,481.33,475.72,0.9883,10.58,164.04,2.454,61.34,0.018073,0.004827,0.043621,0.196872,5.08,0.37846,1.6206,3.59496,straight,gentle
MVI_40192,64,91,361,451,234.09,232.18,0.9918,17.31,81.05,2.428,60.69,0.007947,0.005539,0.018491,0.042428,23.57,0.3305,0.88854,2.12108,straight,gentle
MVI_40192,65,91,371,461,408.23,405.8,0.994,8.59,108.8,3.89,97.26,0.007976,0.004826,0.020081,0.03086,32.4,0.4364,1.38174,2.53432,straight,straight
MVI_40192,66,101,376,476,316.58,312.06,0.9857,37.51,124.95,2.848,71.21,0.009901,0.006547,0.021074,0.067826,14.74,0.51882,1.75314,2.9954,curved,gentle
MVI_40192,67,121,381,501,546.39,545.71,0.9988,9.78,74.08,2.602,65.06,0.006088,0.003773,0.014684,0.025627,39.02,0.28128,0.8042,1.13257,straight,straight
MVI_40192,68,91,396,486,234.39,231.25,0.9866,20.45,123.64,2.415,60.37,0.014281,0.00819,0.03266,0.06496,15.39,0.57611,1.75001,2.38045,curved,gentle
MVI_40192,69,131,401,531,440.35,437.87,0.9944,92.17,236.86,2.011,50.28,0.024301,0.003323,0.086309,0.375229,2.67,0.32888,2.07732,4.78288,curved,sharp
MVI_40192,70,126,416,541,439.94,436.22,0.9915,36.76,128.1,2.193,54.83,0.014155,0.005153,0.036608,0.122295,8.18,0.3949,1.27519,2.78713,curved,gentle
MVI_40192,71,111,421,531,478.23,475.92,0.9952,26.67,110.62,2.965,74.14,0.008888,0.003665,0.023263,0.055711,17.95,0.34952,1.29894,2.78176,curved,gentle
MVI_40192,72,131,431,561,462.67,460.13,0.9945,1.99,144.59,2.057,51.44,0.015937,0.005563,0.045177,0.139676,7.16,0.33684,1.32418,2.45965,straight,straight
MVI_40192,73,106,431,536,281.06,279.27,0.9936,39.17,103.67,2.382,59.55,0.014474,0.004003,0.044975,0.151315,6.61,0.31806,1.49309,3.30907,curved,gentle
MVI_40192,74,106,441,546,472.2,468.05,0.9912,29.61,116.82,2.814,70.34,0.010035,0.004481,0.029897,0.052056,19.21,0.38572,1.37091,2.70034,curved,gentle
MVI_40192,75,106,451,556,549.8,548.21,0.9971,10.22,77.72,3.294,82.36,0.006451,0.002977,0.016931,0.039087,25.58,0.28172,0.83708,1.40393,straight,gentle
MVI_40192,76,116,456,571,480.66,472.75,0.9836,102.45,217.23,2.836,70.9,0.034588,0.004533,0.042652,0.697851,1.43,0.45206,1.53838,9.40797,curved,sharp
MVI_40192,77,121,461,581,443.42,442.13,0.9971,5.52,121.29,2.311,57.77,0.016574,0.002688,0.056392,0.117111,8.54,0.24249,1.64533,2.48125,straight,straight
MVI_40192,78,106,466,571,325.57,321.65,0.9879,29.66,124.75,2.449,61.24,0.012211,0.005748,0.033544,0.071256,14.03,0.47632,1.61227,2.90853,curved,gentle
MVI_40192,79,111,476,586,572.87,570.25,0.9954,27.68,115.89,3.433,85.81,0.010431,0.00468,0.018662,0.121027,8.26,0.44471,1.18773,3.197,curved,gentle
MVI_40192,80,131,486,616,457.33,454.98,0.9949,0.4,169.17,2.217,55.42,0.019268,0.008248,0.048085,0.100926,9.91,0.49155,1.8054,2.6622,straight,straight
MVI_40192,81,126,491,616,467.0,463.29,0.9921,26.87,150.98,2.555,63.89,0.016815,0.010447,0.047227,0.081591,12.26,0.58389,1.45865,2.20907,curved,gentle
MVI_40192,82,111,501,611,330.85,328.0,0.9914,13.24,120.37,2.489,62.21,0.011303,0.007254,0.025269,0.055199,18.12,0.51562,1.15084,1.9373,straight,gentle
MVI_40192,83,121,506,626,493.87,489.81,0.9918,23.07,175.18,2.389,59.72,0.020331,0.007251,0.046607,0.114998,8.7,0.50241,1.91423,2.38506,curved,gentle
MVI_40192,84,106,506,611,421.53,420.06,0.9965,11.57,98.34,3.208,80.21,0.009669,0.003114,0.02765,0.046199,21.65,0.36014,1.17473,1.95089,straight,gentle
MVI_40192,85,111,521,631,472.35,469.16,0.9932,9.49,86.2,2.917,72.94,0.007691,0.003215,0.023466,0.048251,20.72,0.30855,1.02329,1.84107,straight,straight
MVI_40192,86,81,526,606,245.31,240.77,0.9815,49.78,116.11,2.901,72.53,0.009954,0.006727,0.022796,0.037611,26.59,0.47692,1.59359,2.89668,curved,sharp
MVI_40192,87,66,516,581,199.01,197.9,0.9944,34.18,85.04,3.018,75.46,0.009619,0.007597,0.020339,0.048246,20.73,0.46826,1.45602,2.18015,curved,gentle
MVI_40192,88,126,541,666,497.29,490.41,0.9862,10.09,178.16,2.459,61.47,0.021909,0.007287,0.048631,0.282642,3.54,0.58371,1.61799,4.45873,straight,gentle
MVI_40192,89,116,546,661,474.55,468.75,0.9878,90.79,175.22,2.606,65.14,0.020919,0.00469,0.058983,0.265968,3.76,0.42655,1.65951,5.58113,curved,sharp
MVI_40192,90,91,546,636,297.89,295.44,0.9918,8.89,95.31,3.132,78.3,0.007117,0.006835,0.013316,0.027419,36.47,0.41697,1.07118,2.03938,straight,straight
MVI_40192,91,101,546,646,548.09,546.05,0.9963,35.52,87.4,3.517,87.93,0.007865,0.003002,0.023716,0.0521,19.19,0.29402,1.32595,1.8823,curved,gentle
MVI_40192,92,111,546,656,485.59,483.51,0.9957,29.18,127.07,2.827,70.67,0.014824,0.003046,0.045386,0.145332,6.88,0.35692,1.4974,3.92388,curved,gentle
MVI_40192,93,101,546,646,490.22,487.72,0.9949,26.72,89.21,3.541,88.53,0.007549,0.004343,0.022252,0.036951,27.06,0.43505,1.16137,1.98136,curved,gentle
MVI_40192,94,96,576,671,487.27,484.13,0.9936,15.96,104.76,4.053,101.32,0.007301,0.005357,0.016955,0.031369,31.88,0.46929,1.35138,1.94638,straight,gentle
MVI_40192,95,116,586,701,449.92,447.08,0.9937,19.42,86.2,2.566,64.15,0.006693,0.003541,0.018011,0.034205,29.24,0.34336,0.6938,1.06732,straight,gentle
MVI_40192,96,101,591,691,535.43,532.95,0.9954,22.23,107.17,3.452,86.31,0.00823,0.004361,0.021004,0.041202,24.27,0.43059,1.28233,1.81282,curved,gentle
MVI_40192,97,106,601,706,462.58,459.61,0.9936,6.0,119.89,3.313,82.82,0.011031,0.006778,0.029163,0.044464,22.49,0.5728,1.26795,2.35721,straight,straight
MVI_40192,98,106,601,706,461.74,459.61,0.9954,44.4,121.45,2.635,65.87,0.012225,0.004247,0.038824,0.066439,15.05,0.48478,1.34658,2.20237,curved,gentle
MVI_40192,99,96,611,706,305.34,302.05,0.9892,39.59,93.95,2.608,65.21,0.007044,0.0047,0.014433,0.032031,31.22,0.38483,1.0998,2.01264,curved,gentle
MVI_40192,100,116,616,731,461.16,459.54,0.9965,4.24,114.34,2.776,69.4,0.013068,0.004589,0.023642,0.112961,8.85,0.30539,1.43714,2.42574,straight,straight
MVI_40192,101,86,616,701,225.17,222.99,0.9903,3.03,91.29,2.676,66.9,0.009833,0.008488,0.018964,0.025015,39.98,0.53438,1.08843,1.75027,straight,straight
MVI_40192,102,96,621,716,532.97,531.58,0.9974,26.9,101.56,3.217,80.43,0.012075,0.004057,0.030689,0.076849,13.01,0.38957,1.46878,2.28494,curved,gentle
MVI_40192,103,96,626,721,420.1,415.27,0.9885,21.32,58.87,3.051,76.26,0.00281,0.002501,0.005887,0.009812,101.92,0.19418,0.86194,1.45218,curved,gentle
MVI_40192,104,81,636,716,369.29,367.62,0.9955,24.16,62.36,3.93,98.25,0.003656,0.002492,0.00846,0.014758,67.76,0.23221,0.7932,2.42382,curved,gentle
MVI_40192,105,101,651,751,495.95,491.56,0.9911,17.39,129.16,3.083,77.06,0.013207,0.004374,0.040576,0.075808,13.19,0.65088,1.4804,2.32048,straight,gentle
MVI_40192,106,101,651,751,571.08,570.37,0.9987,1.35,63.32,3.658,91.45,0.005048,0.00158,0.014495,0.026448,37.81,0.23992,0.6678,1.17441,straight,straight
MVI_40192,107,111,666,776,445.62,442.43,0.9928,39.34,110.45,2.361,59.03,0.012515,0.005769,0.029689,0.098277,10.18,0.44039,1.13262,2.16953,curved,gentle
MVI_40192,108,81,676,756,374.18,370.84,0.9911,41.32,85.48,3.776,94.39,0.005623,0.00392,0.012073,0.017549,56.98,0.46412,0.8871,2.57632,curved,gentle
MVI_40192,109,111,681,791,498.8,495.02,0.9924,5.55,165.82,3.366,84.16,0.016123,0.004909,0.052662,0.096753,10.34,0.59673,2.14671,3.04507,straight,straight
MVI_40192,110,91,686,776,566.96,565.14,0.9968,21.59,111.74,4.563,114.07,0.01206,0.004593,0.046676,0.06895,14.5,0.5427,1.79521,2.86749,curved,gentle
MVI_40192,111,86,706,791,519.71,518.3,0.9973,9.93,82.75,3.958,98.95,0.01116,0.002478,0.035402,0.151367,6.61,0.42381,1.46676,3.74686,straight,straight
MVI_40192,112,96,706,801,472.32,469.34,0.9937,30.26,133.85,2.96,73.99,0.015971,0.005409,0.042988,0.147536,6.78,0.57712,1.44095,3.54799,curved,gentle
MVI_40192,113,86,711,796,383.44,380.71,0.9929,42.66,88.06,3.843,96.08,0.009274,0.002526,0.032625,0.051557,19.4,0.28926,1.81325,2.60197,curved,gentle
MVI_40192,114,111,716,826,431.59,430.43,0.9973,1.83,110.81,2.302,57.54,0.014856,0.003028,0.054616,0.075704,13.21,0.27417,1.34156,1.92764,straight,straight
MVI_40192,115,96,731,826,475.72,474.12,0.9966,19.67,98.25,3.214,80.35,0.010469,0.003969,0.029375,0.074413,13.44,0.44642,1.33647,2.03733,straight,gentle
MVI_40192,116,91,731,821,540.69,540.01,0.9987,11.41,53.54,3.893,97.33,0.005399,0.001531,0.017434,0.036578,27.34,0.229,0.77816,1.48633,straight,gentle
MVI_40192,117,91,741,831,323.55,319.84,0.9885,23.35,95.73,2.816,70.4,0.010236,0.002323,0.020518,0.093773,10.66,0.23877,1.65948,2.53984,curved,gentle
MVI_40192,118,106,751,856,472.92,468.63,0.9909,9.21,119.88,2.745,68.62,0.013772,0.003144,0.046706,0.082319,12.15,0.44277,1.52427,2.29682,straight,straight
MVI_40192,119,71,756,826,213.81,212.29,0.9929,15.68,65.73,2.934,73.34,0.007153,0.005102,0.014581,0.026779,37.34,0.38837,1.04095,1.48348,straight,gentle
MVI_40192,120,106,761,866,540.56,537.76,0.9948,12.8,106.81,2.97,74.24,0.010161,0.002636,0.030613,0.065536,15.26,0.40203,1.29887,2.2383,straight,gentle
MVI_40192,121,106,766,871,429.65,428.52,0.9974,8.02,89.8,2.704,67.59,0.011697,0.005222,0.031217,0.070004,14.28,0.3482,1.13,1.7182,straight,straight
MVI_40192,122,91,776,866,316.18,312.14,0.9872,25.17,90.18,3.051,76.26,0.006546,0.004991,0.01394,0.028027,35.68,0.3213,1.49113,2.13742,curved,gentle
MVI_40192,123,111,786,896,450.43,446.32,0.9909,13.79,154.46,2.457,61.44,0.016162,0.006283,0.041294,0.14031,7.13,0.42008,1.66607,2.87822,straight,gentle
MVI_40192,124,116,786,901,512.05,508.7,0.9935,13.17,102.73,2.7,67.49,0.010809,0.003249,0.027071,0.146344,6.83,0.38977,1.0131,2.05323,straight,gentle
MVI_40192,125,106,801,906,486.32,481.3,0.9897,30.94,117.12,2.998,74.96,0.010702,0.003776,0.029558,0.099171,10.08,0.41552,1.32243,3.26559,curved,gentle
MVI_40192,126,71,801,871,208.94,206.4,0.9879,50.02,115.3,2.909,72.74,0.0161,0.005637,0.03072,0.154458,6.47,0.44268,2.13704,4.67908,curved,sharp
MVI_40192,127,106,841,946,433.38,431.3,0.9952,0.84,124.63,2.408,60.19,0.018859,0.004588,0.04701,0.387292,2.58,0.50166,1.58887,4.94765,straight,straight
MVI_40192,128,106,841,946,477.13,471.87,0.989,0.99,116.83,2.733,68.33,0.01105,0.005132,0.026408,0.066246,15.1,0.44714,1.38152,2.33259,straight,straight
MVI_40192,129,81,846,926,293.46,290.12,0.9886,32.01,106.7,3.298,82.46,0.010095,0.006369,0.025145,0.040846,24.48,0.5429,1.78675,2.81936,curved,gentle
MVI_40192,130,101,851,951,557.19,555.08,0.9962,30.45,125.96,3.62,90.51,0.012069,0.004107,0.037345,0.072524,13.79,0.45957,1.5554,2.26389,curved,gentle
MVI_40192,131,81,851,931,361.92,360.66,0.9965,14.86,90.09,3.786,94.65,0.01141,0.005033,0.030309,0.116543,8.58,0.42564,1.69944,3.19193,straight,gentle
MVI_40192,132,151,861,1011,491.46,480.8,0.9783,46.32,370.79,2.158,53.95,0.038976,0.013497,0.116582,0.320941,3.12,0.79628,3.44577,7.77183,curved,sharp
MVI_40192,133,101,861,961,459.86,448.61,0.9756,55.56,124.15,2.482,62.04,0.015819,0.003641,0.043196,0.164588,6.08,0.38581,1.5185,3.57172,curved,sharp
MVI_40192,134,91,866,956,512.51,509.33,0.9938,10.92,116.78,4.164,104.11,0.009422,0.003115,0.026756,0.049376,20.25,0.55643,1.22646,2.93297,straight,gentle
MVI_40192,135,66,876,941,227.3,224.85,0.9892,24.88,68.59,3.288,82.2,0.005791,0.005464,0.012536,0.017818,56.12,0.35067,1.51707,1.89792,curved,gentle
MVI_40192,136,96,896,991,475.12,470.22,0.9897,39.42,88.92,3.315,82.88,0.006483,0.002563,0.018175,0.032941,30.36,0.31888,1.04544,1.70611,curved,gentle
MVI_40192,137,106,896,1001,500.75,497.43,0.9934,28.98,104.7,2.997,74.94,0.008201,0.005275,0.019486,0.034702,28.82,0.43296,0.98104,1.87271,curved,gentle
MVI_40192,138,111,906,1016,554.07,552.76,0.9976,16.34,111.74,3.171,79.29,0.011524,0.004697,0.037711,0.080586,12.41,0.43837,1.35276,2.39227,straight,gentle
MVI_40192,139,111,911,1021,389.13,385.57,0.9908,37.21,159.83,3.077,76.92,0.016146,0.008287,0.03076,0.316808,3.16,0.59196,1.61742,5.81499,curved,gentle
MVI_40192,140,96,921,1016,457.9,456.24,0.9964,0.49,83.27,3.101,77.52,0.007506,0.003348,0.023542,0.039101,25.58,0.37524,0.83242,1.35507,straight,straight
MVI_40192,141,116,926,1041,702.75,604.5,0.8602,52.95,255.28,3.06,76.49,0.010346,0.00604,0.0247,0.060959,16.4,0.39408,2.12124,12.92901,curved,sharp
MVI_40192,142,106,926,1031,440.93,439.1,0.9959,41.79,132.64,2.416,60.41,0.014512,0.005932,0.037679,0.117808,8.49,0.48934,1.29052,3.36181,curved,gentle
MVI_40192,143,61,931,991,240.88,239.32,0.9935,33.48,71.53,3.746,93.64,0.007129,0.005875,0.016762,0.019373,51.62,0.54477,1.1826,1.44481,curved,gentle
MVI_40192,144,106,931,1036,311.38,305.61,0.9815,33.02,150.59,2.838,70.95,0.013238,0.007246,0.02642,0.076937,13.0,0.54391,1.77868,3.06874,curved,gentle
MVI_40192,145,101,936,1036,479.04,474.73,0.991,31.98,85.85,3.64,90.99,0.00626,0.002792,0.01791,0.030664,32.61,0.3497,0.80816,1.11182,curved,gentle
MVI_40192,146,116,936,1051,489.11,483.43,0.9884,26.11,136.46,2.843,71.07,0.010326,0.007021,0.022756,0.073151,13.67,0.48135,1.45438,2.18492,curved,gentle
MVI_40192,147,106,946,1051,457.36,453.78,0.9922,35.55,150.93,2.726,68.16,0.013324,0.006568,0.037482,0.054581,18.32,0.56478,1.58453,2.19868,curved,gentle
MVI_40192,148,111,966,1076,312.22,306.71,0.9823,7.22,133.05,2.466,61.64,0.011635,0.006279,0.029838,0.067855,14.74,0.35931,1.53208,2.714,straight,straight
MVI_40192,149,61,971,1031,201.14,199.92,0.9939,39.72,63.83,3.255,81.36,0.006878,0.005168,0.013933,0.051982,19.24,0.37036,0.94113,3.06365,curved,gentle
MVI_40192,150,111,986,1096,462.92,459.38,0.9923,15.21,170.04,3.091,77.29,0.015317,0.004778,0.039053,0.131078,7.63,0.51855,1.30298,3.75356,straight,gentle
MVI_40192,151,96,986,1081,460.84,459.46,0.997,7.45,76.31,3.519,87.98,0.008832,0.002487,0.029188,0.067843,14.74,0.25507,1.16998,2.22487,straight,straight
MVI_40192,152,66,1011,1076,441.12,437.02,0.9907,30.25,51.55,5.006,125.16,0.003177,0.002176,0.007354,0.011903,84.01,0.39438,0.86384,1.09611,curved,gentle
MVI_40192,153,56,1011,1066,184.23,183.27,0.9948,28.65,58.52,3.346,83.65,0.006136,0.003251,0.010607,0.048723,20.52,0.28388,1.12386,3.19146,curved,gentle
MVI_40192,154,101,1016,1116,273.69,269.95,0.9863,55.38,120.84,2.15,53.76,0.012868,0.005968,0.026231,0.106711,9.37,0.38469,1.4002,2.5136,curved,sharp
MVI_40192,155,96,1021,1116,416.54,413.88,0.9936,0.96,98.69,3.93,98.24,0.006919,0.003847,0.011089,0.040207,24.87,0.36589,1.13311,1.81975,straight,straight
MVI_40192,156,91,1026,1116,445.17,443.17,0.9955,29.34,97.39,3.626,90.66,0.012869,0.003005,0.0299,0.302086,3.31,0.32996,1.2728,3.90913,curved,gentle
MVI_40192,157,86,1046,1131,234.96,231.52,0.9854,53.43,114.71,2.451,61.27,0.012862,0.010871,0.027991,0.050595,19.76,0.73283,1.37899,1.85318,curved,sharp
MVI_40192,158,61,1046,1106,199.24,197.46,0.9911,11.85,70.24,3.294,82.35,0.007345,0.006271,0.014024,0.021755,45.97,0.53023,1.07017,2.19576,straight,gentle
MVI_40192,159,96,1076,1171,478.93,476.4,0.9947,19.64,51.68,3.661,91.52,0.003608,0.002295,0.008901,0.019303,51.81,0.24378,0.67953,1.19957,straight,gentle
MVI_40192,160,91,1081,1171,445.37,441.2,0.9906,7.51,68.84,3.774,94.36,0.006166,0.002193,0.025064,0.043125,23.19,0.24187,1.08133,1.5864,straight,straight
MVI_40192,161,66,1116,1181,276.95,274.88,0.9925,28.68,64.39,3.58,89.5,0.004472,0.002,0.011203,0.015666,63.83,0.23681,1.27561,2.025,curved,gentle
MVI_40192,162,76,1121,1196,361.78,359.87,0.9947,28.13,69.8,4.306,107.64,0.004642,0.002692,0.011562,0.020882,47.89,0.30685,1.09955,2.46276,curved,gentle
MVI_40192,163,91,1126,1216,489.21,487.81,0.9972,1.68,67.06,3.663,91.58,0.007499,0.001626,0.021052,0.069476,14.39,0.27502,1.05646,1.53015,straight,straight
MVI_40192,164,76,1131,1206,457.7,453.46,0.9907,29.85,63.78,4.275,106.87,0.005326,0.002144,0.017203,0.029328,34.1,0.37134,0.99705,1.64199,curved,gentle
MVI_40192,165,61,1131,1191,215.53,212.76,0.9871,16.69,65.16,3.412,85.31,0.006221,0.004325,0.013813,0.01829,54.67,0.37561,0.99054,1.79515,straight,gentle
MVI_40192,166,101,1141,1241,459.11,454.77,0.9905,39.02,103.69,3.286,82.15,0.007039,0.004447,0.016003,0.037866,26.41,0.38076,1.10029,1.71936,curved,gentle
MVI_40192,167,111,1146,1256,569.47,567.72,0.9969,20.09,84.48,3.437,85.92,0.006765,0.002779,0.01685,0.032326,30.94,0.32736,0.91952,2.06841,curved,gentle
MVI_40192,168,96,1151,1246,429.73,428.54,0.9972,19.76,77.94,3.122,78.05,0.007247,0.002845,0.019705,0.044035,22.71,0.28346,0.87867,1.57832,straight,gentle
MVI_40192,169,86,1156,1241,476.56,474.26,0.9952,17.86,91.77,3.727,93.17,0.012382,0.002126,0.037174,0.130552,7.66,0.24842,1.59267,3.95816,straight,gentle
MVI_40192,170,81,1171,1251,369.29,366.78,0.9932,22.19,80.32,4.005,100.14,0.005122,0.00306,0.011236,0.01756,56.95,0.40745,0.81232,2.68913,curved,gentle
MVI_40192,171,76,1176,1251,268.49,266.74,0.9935,38.58,62.92,3.143,78.58,0.005485,0.00353,0.013777,0.023285,42.95,0.28191,0.92394,1.45675,curved,gentle
MVI_40192,172,91,1191,1281,426.82,424.87,0.9954,28.51,138.64,3.183,79.58,0.03061,0.003841,0.050176,0.603857,1.66,0.42529,1.87763,7.9289,curved,gentle
MVI_40192,173,81,1201,1281,442.47,438.31,0.9906,39.69,70.71,4.407,110.19,0.004065,0.002638,0.01052,0.013589,73.59,0.2894,0.77651,1.78365,curved,gentle
MVI_40192,174,71,1206,1276,252.25,250.03,0.9912,17.08,65.7,3.425,85.62,0.005613,0.003578,0.01381,0.020904,47.84,0.32391,0.93205,2.17872,straight,gentle
MVI_40192,175,96,1211,1306,482.35,478.49,0.992,35.69,99.06,3.799,94.97,0.007188,0.002252,0.014455,0.061655,16.22,0.32188,1.29641,3.03131,curved,gentle
MVI_40192,176,51,1211,1261,174.71,172.59,0.9879,40.55,74.41,3.508,87.69,0.008845,0.004732,0.025321,0.02803,35.68,0.40834,2.33557,2.49935,curved,gentle
MVI_40192,177,76,1216,1291,465.65,462.55,0.9933,4.83,85.92,4.272,106.81,0.007796,0.00231,0.022033,0.069353,14.42,0.30923,1.5305,2.47967,straight,straight
MVI_40192,178,81,1216,1296,423.31,422.32,0.9977,16.82,51.18,3.943,98.58,0.004146,0.00198,0.013229,0.020536,48.69,0.18908,0.72011,1.09032,straight,gentle
MVI_40192,179,101,1221,1321,545.65,544.91,0.9986,18.35,63.63,3.558,88.94,0.005674,0.002073,0.014773,0.031527,31.72,0.25364,0.70071,1.24853,straight,gentle
MVI_40192,180,61,1221,1281,402.14,398.21,0.9902,30.68,49.26,5.374,134.36,0.002842,0.001522,0.007544,0.013329,75.03,0.24893,1.1963,1.49652,curved,gentle
MVI_40192,181,81,1246,1326,429.83,427.39,0.9943,29.65,64.38,4.089,102.23,0.003713,0.003179,0.007588,0.013568,73.7,0.26346,0.75397,1.71115,curved,gentle
MVI_40192,182,86,1266,1351,426.67,426.38,0.9993,1.46,32.24,3.681,92.04,0.003442,0.000859,0.00778,0.029412,34.0,0.11953,0.45069,1.21638,straight,straight
MVI_40192,183,71,1286,1356,465.36,463.98,0.997,23.02,46.48,4.696,117.41,0.003983,0.001638,0.012214,0.020943,47.75,0.17916,0.78197,1.07417,curved,gentle
MVI_40192,184,86,1291,1376,549.35,548.45,0.9984,6.78,48.94,4.318,107.96,0.003031,0.001607,0.007198,0.017567,56.93,0.2666,0.66605,1.10049,straight,straight
MVI_40192,185,66,1291,1356,257.38,254.92,0.9904,19.19,76.6,3.804,95.1,0.006659,0.003537,0.014283,0.036702,27.25,0.34633,1.43947,2.11819,straight,gentle
MVI_40192,186,61,1301,1361,346.71,345.21,0.9957,17.58,51.76,5.326,133.15,0.00344,0.002606,0.008079,0.011506,86.91,0.42441,0.82473,1.58359,straight,gentle
MVI_40192,187,91,1301,1391,417.11,416.0,0.9973,5.57,68.98,3.24,80.99,0.009219,0.003244,0.017237,0.188184,5.31,0.32539,0.74502,2.42732,straight,straight
MVI_40192,188,86,1306,1391,439.98,435.09,0.9889,17.73,65.02,3.843,96.07,0.004519,0.002632,0.011726,0.021012,47.59,0.3182,0.8367,1.59469,straight,gentle
MVI_40192,189,81,1321,1401,487.66,485.53,0.9956,9.02,86.81,4.274,106.85,0.008629,0.003036,0.029805,0.050034,19.99,0.38911,1.52634,2.33263,straight,straight
